id,name,category,brand,price,rating,tags
87,Wakefit Orthopaedic Mattress,Furniture,Wakefit,12999,4.6,"furniture,mattress,sleep,premium,health"
88,Durian Recliner Sofa,Furniture,Durian,34999,4.4,"furniture,sofa,premium,living-room,comfort"
89,Amazon Kindle Paperwhite,Books & Media,Amazon,13999,4.8,"ereader,books,reading,premium,amazon"
90,Kindle Scribe,Books & Media,Amazon,29999,4.6,"ereader,books,writing,premium,amazon"
91,Yoga Mat Premium Cork,Sports,Boldfit,1299,4.4,"fitness,yoga,sports,budget,health"
92,Decathlon Resistance Bands,Sports,Decathlon,799,4.5,"fitness,sports,budget,home-workout,health"
93,Nivia Football,Sports,Nivia,999,4.3,"sports,football,outdoor,budget"
94,Cosco Badminton Set,Sports,Cosco,1499,4.2,"sports,badminton,outdoor,budget"
95,Skybags Backpack 30L,Bags,Skybags,1999,4.3,"bag,backpack,travel,casual,budget"
96,American Tourister Trolley,Bags,American Tourister,5999,4.5,"bag,luggage,travel,midrange"
97,Wildcraft Hiking Bag,Bags,Wildcraft,3499,4.4,"bag,backpack,outdoor,sports,midrange"
98,Lavie Handbag,Bags,Lavie,1799,4.3,"bag,handbag,fashion,womens,casual"
99,Himalaya Face Wash,Beauty,Himalaya,199,4.5,"beauty,skincare,budget,daily-use,natural"
100,Mamaearth Vitamin C Serum,Beauty,Mamaearth,599,4.4,"beauty,skincare,budget,natural,vitamin-c"
101,Forest Essentials Face Oil,Beauty,Forest Essentials,2499,4.7,"beauty,skincare,premium,natural,luxury"
102,The Ordinary Niacinamide,Beauty,The Ordinary,799,4.6,"beauty,skincare,midrange,serum,pores"
103,Noise Buds VS104,Electronics,Noise,1299,4.1,"audio,earbuds,budget,wireless"
104,Redmi Buds 5 Pro,Electronics,Xiaomi,3999,4.3,"audio,earbuds,budget,wireless,xiaomi"
105,PTron Bassbuds Pro,Electronics,PTron,599,3.9,"audio,earbuds,budget,wired"
106,Atomberg Renesa Ceiling Fan,Home,Atomberg,3499,4.6,"home,fan,smart,energy-saving,appliance"
107,Havells Ceiling Fan,Home,Havells,2499,4.4,"home,fan,appliance,budget"
108,Usha Table Fan,Home,Usha,1299,4.2,"home,fan,appliance,budget,portable"
109,Crompton LED Bulb Pack,Home,Crompton,499,4.5,"home,lighting,budget,energy-saving"
110,Syska Smart Bulb,Home,Syska,799,4.3,"home,lighting,smart-home,budget"
